,Unnamed: 0,dao_id,proposal_id,bribe_function,private_ratio,noised_ratio,target_side,epsilon,w_max,W_total,num_voters,public_cost_abs,private_cost_abs,noised_cost_abs,min_swing_voters
101,101,balancer.eth,0x3be9bbf38307d4de7cccb1e453b50d6f6f19c111b79e10fac20d7885e131590a,top_10,1.0,1.0,losing,1.1849242427800271e-05,2282437.300271709,2528205.7412594664,11,,,,1
102,102,balancer.eth,0xc43178bf98c91380899c23ccbe63a37d3a1b487ce35edc54c1fadfd25001d21d,top_mdc_log,1.0,1.0,losing,5.984652808005987e-05,253193.00434154255,500569.1006078818,73,,,,1
103,103,balancer.eth,0xc43178bf98c91380899c23ccbe63a37d3a1b487ce35edc54c1fadfd25001d21d,linear_weight,1.0,1.0,losing,5.984652808005987e-05,253193.00434154255,500569.1006078818,73,,,,1
104,104,balancer.eth,0xc43178bf98c91380899c23ccbe63a37d3a1b487ce35edc54c1fadfd25001d21d,whale_90,1.0,1.0,losing,5.984652808005987e-05,253193.00434154255,500569.1006078818,73,,,,1
105,105,balancer.eth,0xc43178bf98c91380899c23ccbe63a37d3a1b487ce35edc54c1fadfd25001d21d,whale_99,1.0,1.0,losing,5.984652808005987e-05,253193.00434154255,500569.1006078818,73,,,,1
106,106,balancer.eth,0xc43178bf98c91380899c23ccbe63a37d3a1b487ce35edc54c1fadfd25001d21d,log_whale_99,1.0,1.0,losing,5.984652808005987e-05,253193.00434154255,500569.1006078818,73,,,,1
107,107,balancer.eth,0xc43178bf98c91380899c23ccbe63a37d3a1b487ce35edc54c1fadfd25001d21d,top_10,1.0,1.0,losing,5.984652808005987e-05,253193.00434154255,500569.1006078818,73,,,,1
108,108,balancer.eth,0x65f56258442e1a10a76014aa693ada4b15dc0731d4f0beb0dbc7bc24203f49a9,top_mdc_log,1.0,1.0,losing,9.11680225725884e-06,3128333.1726975017,3285946.309923279,71,,,,1
109,109,balancer.eth,0x65f56258442e1a10a76014aa693ada4b15dc0731d4f0beb0dbc7bc24203f49a9,linear_weight,1.0,1.0,losing,9.11680225725884e-06,3128333.1726975017,3285946.309923279,71,,,,1
110,110,balancer.eth,0x65f56258442e1a10a76014aa693ada4b15dc0731d4f0beb0dbc7bc24203f49a9,whale_90,1.0,1.0,losing,9.11680225725884e-06,3128333.1726975017,3285946.309923279,71,,,,1
111,111,balancer.eth,0x65f56258442e1a10a76014aa693ada4b15dc0731d4f0beb0dbc7bc24203f49a9,whale_99,1.0,1.0,losing,9.11680225725884e-06,3128333.1726975017,3285946.309923279,71,,,,1
112,112,balancer.eth,0x65f56258442e1a10a76014aa693ada4b15dc0731d4f0beb0dbc7bc24203f49a9,log_whale_99,1.0,1.0,losing,9.11680225725884e-06,3128333.1726975017,3285946.309923279,71,,,,1
113,113,balancer.eth,0x65f56258442e1a10a76014aa693ada4b15dc0731d4f0beb0dbc7bc24203f49a9,top_10,1.0,1.0,losing,9.11680225725884e-06,3128333.1726975017,3285946.309923279,71,,,,1
114,114,balancer.eth,0x1e067d8f7a641036e809138dcc8347008038446dd15512ab29911aaecff5f3c1,top_mdc_log,1.0,1.0,losing,1.1020210539342856e-05,2307634.85090468,2718398.4034234514,15,,,,1
115,115,balancer.eth,0x1e067d8f7a641036e809138dcc8347008038446dd15512ab29911aaecff5f3c1,linear_weight,1.0,1.0,losing,1.1020210539342856e-05,2307634.85090468,2718398.4034234514,15,,,,1
116,116,balancer.eth,0x1e067d8f7a641036e809138dcc8347008038446dd15512ab29911aaecff5f3c1,whale_90,1.0,1.0,losing,1.1020210539342856e-05,2307634.85090468,2718398.4034234514,15,,,,1
117,117,balancer.eth,0x1e067d8f7a641036e809138dcc8347008038446dd15512ab29911aaecff5f3c1,whale_99,1.0,1.0,losing,1.1020210539342856e-05,2307634.85090468,2718398.4034234514,15,,,,1
118,118,balancer.eth,0x1e067d8f7a641036e809138dcc8347008038446dd15512ab29911aaecff5f3c1,log_whale_99,1.0,1.0,losing,1.1020210539342856e-05,2307634.85090468,2718398.4034234514,15,,,,1
119,119,balancer.eth,0x1e067d8f7a641036e809138dcc8347008038446dd15512ab29911aaecff5f3c1,top_10,1.0,1.0,losing,1.1020210539342856e-05,2307634.85090468,2718398.4034234514,15,,,,1
120,120,balancer.eth,0xc2914f9b68295c5934a8c87a168625d64f9b65abe45df1dfa1e87e2f9f3a6fec,top_mdc_log,1.0,1.0,losing,1.0724416355081598e-05,2293960.5589001607,2793375.5780886947,26,,,,1
121,121,balancer.eth,0xc2914f9b68295c5934a8c87a168625d64f9b65abe45df1dfa1e87e2f9f3a6fec,linear_weight,1.0,1.0,losing,1.0724416355081598e-05,2293960.5589001607,2793375.5780886947,26,,,,1
122,122,balancer.eth,0xc2914f9b68295c5934a8c87a168625d64f9b65abe45df1dfa1e87e2f9f3a6fec,whale_90,1.0,1.0,losing,1.0724416355081598e-05,2293960.5589001607,2793375.5780886947,26,,,,1
